,movie,plot,year,ratings,stars,runtime,genre,director,cast
0,Eternals,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",2021,UA,6.9,156.0,"Action, Adventure, Fantasy",Chloé Zhao,"Gemma Chan, Richard Madden, Angelina Jolie, Salma Hayek"
1,Arcane: League of Legends,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.",2021,16,9.4,,"Animation, Action, Adventure",,"Kevin Alejandro, Jason Spisak, Hailee Steinfeld, JB Blanc"
2,Dune: Part One,"Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.",2021,UA,8.2,155.0,"Action, Adventure, Drama",Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac"
3,Shang-Chi and the Legend of the Ten Rings,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",2021,UA,7.7,132.0,"Action, Adventure, Fantasy",Destin Daniel Cretton,"Simu Liu, Awkwafina, Tony Chiu-Wai Leung, Ben Kingsley"
4,Finch,"On a post-apocalyptic earth, a robot, built to protect the life of his creator's beloved dog, learns about life, love, friendship and what it means to be human.",2021,UA 13+,7,115.0,"Adventure, Drama, Sci-Fi",Miguel Sapochnik,"Tom Hanks, Caleb Landry Jones, Marie Wagenman, Lora Martinez-Cunningham"
5,Spider-Man: No Way Home,"For the first time in the cinematic history of Spider-Man, our friendly neighborhood hero is unmasked and no longer able to separate his normal life from the high-stakes of being a Super ...                See full summary »",2021,,,,"Action, Adventure, Sci-Fi",Jon Watts,"Zendaya, Benedict Cumberbatch, Tom Holland, Marisa Tomei"
6,Stranger Things,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",2016,15,8.7,51.0,"Drama, Fantasy, Horror",,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour"
7,Dune,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,1984,U,6.4,137.0,"Action, Adventure, Sci-Fi",David Lynch,"Kyle MacLachlan, Virginia Madsen, Francesca Annis, Leonardo Cimino"
8,Venom: Let There Be Carnage,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",2021,UA,6.3,97.0,"Action, Adventure, Sci-Fi",Andy Serkis,"Tom Hardy, Woody Harrelson, Michelle Williams, Naomie Harris"
9,Doctor Who,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,2005,U,8.6,45.0,"Adventure, Drama, Family",,"Jodie Whittaker, Peter Capaldi, Pearl Mackie, Matt Smith"
10,Foundation,A complex saga of humans scattered on planets throughout the galaxy all living under the rule of the Galactic Empire.,2021,U/A 16+,7.3,60.0,"Drama, Sci-Fi",,"Lou Llobell, Jared Harris, Lee Pace, Leah Harvey"
11,Free Guy,"A bank teller discovers that he's actually an NPC inside a brutal, open world video game.",2021,UA,7.2,115.0,"Action, Adventure, Comedy",Shawn Levy,"Ryan Reynolds, Jodie Comer, Taika Waititi, Lil Rel Howery"
12,Army of the Dead,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.",2021,18,5.8,148.0,"Action, Crime, Horror",Zack Snyder,"Dave Bautista, Ella Purnell, Ana de la Reguera, Omari Hardwick"
13,Invasion,Earth is visited by an alien species that threatens humanity's existence. Events unfold in real time through the eyes of five ordinary people across the globe as they struggle to make sense of the chaos unraveling around them.,2021,A,5.8,60.0,"Drama, Fantasy, Sci-Fi",,"Golshifteh Farahani, Shamier Anderson, Shioli Kutsuna, Firas Nassar"
14,Black Widow,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,2021,UA,6.7,134.0,"Action, Adventure, Sci-Fi",Cate Shortland,"Scarlett Johansson, Florence Pugh, David Harbour, Rachel Weisz"
15,Morbius,"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",2022,PG-13,,,"Action, Adventure, Drama",Daniel Espinosa,"Jared Leto, Michael Keaton, Adria Arjona, Jared Harris"
16,The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",2021,A,7.3,132.0,"Action, Adventure, Comedy",James Gunn,"Margot Robbie, Idris Elba, John Cena, Joel Kinnaman"
17,The Mandalorian,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",2019,U,8.8,40.0,"Action, Adventure, Sci-Fi",,"Pedro Pascal, Carl Weathers, Barry Lowin, Gina Carano"
18,Doom Patrol,The adventures of an idealistic mad scientist and his field team of superpowered outcasts.,2019,18,7.9,60.0,"Action, Adventure, Comedy",,"Diane Guerrero, April Bowlby, Matt Bomer, Brendan Fraser"
19,Supergirl,The adventures of Superman's cousin in her own superhero career.,2015–2021,12+,6.2,43.0,"Action, Adventure, Drama",,"Melissa Benoist, Chyler Leigh, David Harewood, Katie McGrath"
20,The Boys,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,2019,18+,8.7,60.0,"Action, Crime, Drama",,"Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty"
